customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnFlag,ServicesAdopted,HasInternet,TenureNorm,ServicesNorm,ContractScore,AutoPay,PaperlessScore,EngagementScore,ChargeToServiceRatio,ChargeRiskNorm,LowTenureRisk,MonthToMonthRisk,EcheckRisk,FiberNoSecurityRisk,UnanchoredRisk,RiskScore
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,0,2,1,0.18055555555555555,0.25,0.0,0,1,18.819444444444443,16.650000000000002,0.3160667251975418,0.8194444444444444,1,0,0,0,46.12988976685201
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,1,0,0.2222222222222222,0.125,1.0,1,0,41.52777777777777,9.475,0.06409130816505706,0.7777777777777778,0,0,0,1,26.516925178031414
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0,5,1,0.8055555555555556,0.625,0.5,1,0,66.94444444444444,16.724999999999998,0.31870061457418786,0.19444444444444442,0,0,1,0,28.66939810750171
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,6,1,0.6805555555555556,0.75,0.0,1,1,61.31944444444445,14.814285714285715,0.2515991471215352,0.3194444444444444,1,0,1,1,65.16287609571191
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,0,6,1,0.3472222222222222,0.75,0.0,0,1,39.65277777777778,15.071428571428571,0.2606296249843221,0.6527777777777778,1,1,0,1,61.96499993032039
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0,8,1,0.9583333333333334,1.0,1.0,1,0,93.54166666666667,12.583333333333334,0.17325139010828214,0.04166666666666663,0,0,0,0,3.432104184957565
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,0,1,0,0.7222222222222222,0.125,0.5,0,0,39.02777777777777,10.325,0.09394205443371377,0.2777777777777778,0,0,0,1,16.964686372061262
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0,6,1,0.9861111111111112,0.75,1.0,1,0,87.01388888888889,15.242857142857144,0.2666499435595134,0.01388888888888884,0,0,0,0,4.277526931170477
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,3,1,0.1388888888888889,0.375,0.0,1,0,26.111111111111107,13.8,0.21597892888498688,0.8611111111111112,1,0,0,0,45.461906155497026
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,0,4,1,0.2916666666666667,0.5,0.0,0,1,30.208333333333332,18.009999999999998,0.36382791922739244,0.7083333333333333,1,1,1,1,84.62408545507755
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,2,1,0.013888888888888888,0.25,0.0,0,1,12.986111111111109,13.216666666666667,0.1954931226221832,0.9861111111111112,1,1,0,1,67.65461906155497
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0,1,0,0.16666666666666666,0.125,0.5,1,0,29.583333333333332,9.9,0.07901668129938545,0.8333333333333334,0,0,0,0,17.85191688615745
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,1,0,0.013888888888888888,0.125,0.0,0,0,4.236111111111111,10.075,0.0851624231782265,0.9861111111111112,1,0,0,1,55.99965856989563
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0,4,1,0.8055555555555556,0.5,1.0,1,1,78.19444444444444,11.98,0.15206321334503953,0.19444444444444442,0,0,0,0,6.169837089064481
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,0,4,1,0.6805555555555556,0.5,0.0,1,0,48.819444444444436,11.92,0.14995610184372257,0.3194444444444444,1,0,0,0,33.63823041654473
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,0,3,1,0.4166666666666667,0.375,0.0,1,1,40.83333333333333,13.825,0.21685689201053554,0.5833333333333333,1,0,0,1,49.919520046824694
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,5,1,0.6527777777777778,0.625,0.0,0,1,46.597222222222214,16.558333333333334,0.31284752707052976,0.3472222222222222,1,1,1,0,66.63715735050239
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,1,1,0.013888888888888888,0.125,0.0,0,0,4.236111111111111,15.1,0.26163301141352063,0.9861111111111112,1,1,0,0,58.64671739342503
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,0,8,1,1.0,1.0,1.0,1,1,99.99999999999999,10.027777777777779,0.0835040483855234,0.0,0,0,0,0,1.252560725782851
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,3,1,0.2361111111111111,0.375,0.0,0,1,24.513888888888886,16.175,0.29938542581211597,0.7638888888888888,1,0,0,0,44.76855916495952
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0,6,1,0.9861111111111112,0.75,1.0,1,1,92.0138888888889,13.764285714285714,0.21472469584848866,0.01388888888888884,0,0,0,0,3.498648215505107
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0,4,1,0.027777777777777776,0.5,0.0,1,1,30.972222222222218,19.1,0.402107111501317,0.9722222222222222,1,0,1,0,70.47605111696419
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,0,5,1,0.375,0.625,0.5,0,0,41.87499999999999,11.025,0.11852502194907816,0.625,0,0,0,0,14.277875329236172
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0,1,0,0.013888888888888888,0.125,0.0,1,0,14.23611111111111,10.1,0.08604038630377524,0.9861111111111112,1,0,0,1,56.01282801677885
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0,1,1,0.013888888888888888,0.125,0.0,1,0,14.23611111111111,22.625,0.5258999122036875,0.9861111111111112,1,0,0,1,62.61072090527754
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,0,6,1,1.0,0.75,1.0,1,0,87.49999999999999,14.271428571428572,0.23253480496676285,0.0,0,0,0,0,3.4880220745014427
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,1,1,0.06944444444444445,0.125,0.0,0,1,11.180555555555555,34.85,0.955223880597015,0.9305555555555556,1,1,1,1,97.93946932006634
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,0,2,1,0.6388888888888888,0.25,0.0,1,1,44.8611111111111,24.933333333333334,0.6069651741293532,0.36111111111111116,1,0,1,1,71.32669983416253
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,6,1,0.4722222222222222,0.75,0.0,0,1,44.02777777777777,15.192857142857141,0.26489401730841583,0.5277777777777778,1,1,1,1,79.52896581518179
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,5,1,0.1527777777777778,0.625,0.0,1,1,39.09722222222222,16.308333333333334,0.30406789581504245,0.8472222222222222,1,0,1,1,76.50546288167008
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0,2,1,0.1388888888888889,0.25,0.5,0,0,22.36111111111111,16.516666666666666,0.31138425519461516,0.8611111111111112,0,0,0,0,21.892986050141452
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,0,5,1,0.9722222222222222,0.625,1.0,1,1,87.77777777777777,11.533333333333333,0.1363769388352356,0.02777777777777779,0,0,0,0,2.60120963808409
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,0,1,0,0.2361111111111111,0.125,0.5,0,0,22.01388888888889,10.375,0.09569798068481125,0.7638888888888888,0,0,0,0,16.713247488049948
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,0,7,1,0.875,0.875,1.0,1,1,91.875,9.98125,0.08187006145741878,0.125,0,0,0,1,13.728050921861282
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,0,6,1,0.18055555555555555,0.75,0.0,0,1,33.81944444444444,10.885714285714286,0.11363351310673526,0.8194444444444444,1,1,0,0,53.09339158548991
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,0,3,1,0.6805555555555556,0.375,0.0,0,1,40.06944444444444,21.125,0.47322212467076386,0.3194444444444444,1,1,1,1,78.48722075895034
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0,2,1,0.027777777777777776,0.25,0.0,0,0,8.472222222222221,16.416666666666668,0.30787240269242033,0.9722222222222222,1,0,0,1,59.062530484830745
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,2,1,0.027777777777777776,0.25,0.0,0,1,13.472222222222221,26.883333333333336,0.675446297922154,0.9722222222222222,1,1,1,1,94.57613891327674
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,0,6,1,0.7222222222222222,0.75,1.0,1,1,82.77777777777779,11.392857142857142,0.1314436222250094,0.2777777777777778,0,0,0,1,17.5272098889307
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,0,5,1,0.9583333333333334,0.625,1.0,1,1,87.29166666666667,10.691666666666668,0.10681884694176184,0.04166666666666663,0,0,0,0,2.4356160374597606
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,0,4,1,0.5972222222222222,0.5,0.0,0,1,40.90277777777777,18.05,0.36523266022827044,0.4027777777777778,1,1,1,1,78.5340454589796
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,5,1,0.20833333333333334,0.625,0.0,1,1,41.04166666666667,16.516666666666666,0.31138425519461516,0.7916666666666666,1,0,0,1,55.50409716125257
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,0,5,1,0.3472222222222222,0.625,0.0,1,1,45.90277777777778,11.583333333333334,0.13813286508633307,0.6527777777777778,1,0,0,0,40.12754853185055
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,3,1,0.1111111111111111,0.375,0.0,1,1,30.138888888888886,20.1625,0.4394205443371379,0.8888888888888888,1,0,1,0,69.36908594283484
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,0,6,1,0.8333333333333334,0.75,0.5,1,1,76.66666666666666,10.692857142857141,0.10686065470964501,0.16666666666666663,0,0,0,0,4.936243153978008
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,4,1,0.25,0.5,0.0,0,1,28.749999999999996,19.09,0.40175592625109746,0.75,1,1,1,1,86.02633889376646
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,0,5,1,0.875,0.625,0.5,1,1,74.375,16.608333333333334,0.3146034533216272,0.125,0,0,0,0,7.219051799824408
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,0,7,1,0.9166666666666666,0.875,0.5,0,1,73.33333333333333,13.55625,0.20741878841088676,0.08333333333333337,0,1,0,0,14.777948492829967
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,0,2,0,0.4722222222222222,0.25,1.0,1,0,54.02777777777777,8.316666666666666,0.023412350014632727,0.5277777777777778,0,0,0,0,10.906740805775048
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,0,6,1,1.0,0.75,1.0,1,1,92.5,15.357142857142858,0.27066348927630757,0.0,0,0,0,1,14.059952339144614
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,0,5,1,0.6527777777777778,0.625,0.0,0,1,46.597222222222214,16.75,0.31957857769973663,0.3472222222222222,1,1,1,0,66.73812310994049
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,0,4,1,0.8333333333333334,0.5,0.0,1,1,59.166666666666664,17.98,0.36277436347673403,0.16666666666666663,1,0,1,1,63.77494878548434
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,0,3,1,1.0,0.375,1.0,1,0,76.25,10.525,0.10096575943810362,0.0,0,0,0,0,1.5144863915715543
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,0,3,1,0.25,0.375,0.5,1,1,45.0,13.6,0.208955223880597,0.75,0,0,0,0,18.134328358208958
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,4,1,0.125,0.5,0.0,0,0,19.374999999999996,18.880000000000003,0.39438103599648827,0.875,1,1,1,1,88.41571553994731
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0,5,1,0.041666666666666664,0.625,0.0,0,1,25.208333333333332,12.549999999999999,0.17208077260755045,0.9583333333333334,1,1,0,1,66.74787825577992
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,0,3,1,0.6527777777777778,0.375,0.5,0,1,49.09722222222222,19.725,0.4240561896400352,0.3472222222222222,0,1,1,0,43.30528728904498
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,0,6,1,0.4305555555555556,0.75,1.0,0,0,57.56944444444445,11.314285714285715,0.12868430954471344,0.5694444444444444,0,0,0,1,23.31915353205959
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,0,1,0,0.6944444444444444,0.125,1.0,1,0,58.05555555555555,10.075,0.0851624231782265,0.3055555555555556,0,0,0,0,7.388547458784508
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,0,3,1,0.1388888888888889,0.375,0.0,0,1,21.111111111111107,19.9625,0.43239683933274803,0.8611111111111112,1,0,0,1,58.70817481221344
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0,2,1,0.013888888888888888,0.25,0.0,0,0,7.986111111111111,16.349999999999998,0.30553116769095695,0.9861111111111112,1,0,0,1,59.30518973758658
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,0,1,0,0.7222222222222222,0.125,0.5,0,1,44.02777777777777,10.2,0.08955223880597014,0.2777777777777778,0,1,0,0,16.89883913764511
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,0,7,1,0.8888888888888888,0.875,1.0,1,1,92.3611111111111,13.95,0.22124670763827917,0.11111111111111116,0,0,0,0,5.540922836796411
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0,2,0,0.8611111111111112,0.25,1.0,1,1,72.63888888888889,8.083333333333334,0.015218027509511307,0.13888888888888884,0,0,0,0,3.0060481904204464
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0,4,1,0.041666666666666664,0.5,0.0,1,1,31.458333333333332,12.9,0.1843722563652327,0.9583333333333334,1,0,0,0,46.93225051214516
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,0,7,1,0.7777777777777778,0.875,0.5,0,0,63.47222222222222,13.8125,0.2164179104477612,0.2222222222222222,0,1,0,1,27.690713101160863
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,0,2,1,0.6388888888888888,0.25,0.5,1,0,49.8611111111111,18.55,0.382791922739245,0.36111111111111116,0,0,0,1,22.9641010633109
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,0,3,1,0.1111111111111111,0.375,0.0,0,0,15.138888888888888,13.6625,0.21115013169446883,0.8888888888888888,1,0,0,0,45.94502975319482
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,0,5,1,0.4166666666666667,0.625,0.0,0,1,38.333333333333336,12.458333333333334,0.1688615744805385,0.5833333333333333,1,1,0,1,59.199590283874734
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,0,2,0,0.625,0.25,0.5,1,1,54.37500000000001,8.633333333333333,0.03453321627158326,0.375,0,0,0,0,8.01799824407375
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,2,1,0.013888888888888888,0.25,0.0,0,1,12.986111111111109,26.45,0.6602282704126426,0.9861111111111112,1,1,1,0,84.62564627841186
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0,3,1,0.1527777777777778,0.375,0.0,0,0,16.59722222222222,12.6375,0.17515364354697102,0.8472222222222222,1,1,0,0,54.57174909764901
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,2,1,0.09722222222222222,0.25,0.0,1,1,25.90277777777778,25.05,0.611062335381914,0.9027777777777778,1,0,1,0,72.22149058628426
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,0,6,1,0.5833333333333334,0.75,0.0,1,1,57.91666666666667,14.828571428571427,0.25210084033613445,0.41666666666666663,1,0,0,1,47.114845938375346
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,0,1,0,0.6805555555555556,0.125,1.0,1,1,62.56944444444444,10.075,0.0851624231782265,0.3194444444444444,0,0,0,0,7.666325236562285
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0,5,1,0.125,0.625,0.0,1,1,38.125,16.55,0.3125548726953469,0.875,1,0,1,1,77.1883230904302
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,0,3,1,0.4861111111111111,0.375,0.5,1,1,53.263888888888886,15.5375,0.27699736611062337,0.5138888888888888,0,0,0,0,14.43273826943713
