customerID,CohortName,PredictedChurnProbability,RiskScore,EngagementScore,tenure,MonthlyCharges,Contract,InternetService,PaymentMethod
9094-AZPHK,At-Risk Newcomers,84.5,85.59628328943518,31.041666666666668,15,100.15,Month-to-month,Fiber optic,Electronic check
2920-RNCEZ,At-Risk Newcomers,84.5,79.1164276655936,19.23611111111111,1,69.95,Month-to-month,Fiber optic,Credit card (automatic)
3030-YDNRM,At-Risk Newcomers,84.5,91.89103502097356,16.388888888888886,8,74.85,Month-to-month,Fiber optic,Electronic check
2674-MIAHT,At-Risk Newcomers,84.5,80.43410398985465,18.19444444444444,4,80.3,Month-to-month,Fiber optic,Mailed check
6856-RAURS,At-Risk Newcomers,84.4,83.56648131889571,13.47222222222222,2,74.9,Month-to-month,Fiber optic,Mailed check
7363-QTBIW,At-Risk Newcomers,84.4,82.47366110623354,16.875,9,79.75,Month-to-month,Fiber optic,Electronic check
3199-XGZCY,At-Risk Newcomers,84.4,91.96127207101743,16.388888888888886,8,75.25,Month-to-month,Fiber optic,Electronic check
6734-GMPVK,At-Risk Newcomers,84.3,87.50550468943796,24.93055555555556,5,105.3,Month-to-month,Fiber optic,Electronic check
4633-MKHYU,At-Risk Newcomers,84.3,80.11194029850745,20.625,9,88.4,Month-to-month,Fiber optic,Mailed check
7858-GTZSP,At-Risk Newcomers,84.1,89.03497219783436,22.08333333333333,12,86.55,Month-to-month,Fiber optic,Electronic check
9696-RMYBA,At-Risk Newcomers,84.0,83.64622963613306,14.930555555555555,5,80.1,Month-to-month,Fiber optic,Mailed check
0916-QOFDP,At-Risk Newcomers,83.9,77.17432445615063,26.80555555555556,14,95.8,Month-to-month,Fiber optic,Electronic check
9290-SHCMB,At-Risk Newcomers,83.9,87.56272558774754,26.319444444444446,13,96.85,Month-to-month,Fiber optic,Electronic check
7398-SKNQZ,At-Risk Newcomers,83.8,80.1350599941469,16.458333333333332,3,94.9,Month-to-month,Fiber optic,Electronic check
2984-AFWNC,At-Risk Newcomers,83.8,90.18773778167984,16.458333333333332,3,95.4,Month-to-month,Fiber optic,Electronic check
3320-VEOYC,At-Risk Newcomers,83.8,87.15325334113744,26.80555555555556,14,95.6,Month-to-month,Fiber optic,Electronic check
0258-NOKBL,At-Risk Newcomers,83.7,89.66095990635058,16.458333333333332,3,90.4,Month-to-month,Fiber optic,Electronic check
3295-YVUSR,At-Risk Newcomers,83.7,83.1626182811433,13.47222222222222,2,72.6,Month-to-month,Fiber optic,Mailed check
6137-NICCO,At-Risk Newcomers,83.4,67.56072578285045,26.666666666666668,6,94.05,Month-to-month,Fiber optic,Mailed check
7517-LDMPS,At-Risk Newcomers,83.4,88.77816798361135,22.08333333333333,12,84.6,Month-to-month,Fiber optic,Electronic check
